Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
9.7	50			0.45	6.7000003							4.8	3.4075658		
9.7		5.717633		0.45		5						4.8		3.271792	
9.7		30.6984		0.45		5.4						4.8		2.9811149	
9.7		11.2167845		0.45		6.4						4.8		2.0094388	
8.2	50			0.5	7.2000003							4.8	3.5137374		
8.2		50		0.5		4.9						4.8		3.3247223	
8.2		27.584795		0.5		1.6						4.8		3.1347282	
8.2		13.618337		0.5		7						4.8		2.22673	
5.4	50			1.1	6.3							3.3	2.7630131		
5.4		71.507904		1.1		4.8						3.3		2.5935829	
5.4		31.770288		1.1		2.3						3.3		2.2744648	
5.4		50		1.1		0						3.3		1.270612	
43.8	24.351538			0.2	1.5							9.5	8.745546		
43.8		58.754562		0.2		1.6						9.5		8.578	
43.8		33.47189		0.2		1.4						9.5		8.344869	
43.8		26.980894		0.2		1.4						9.5		7.686173	
31.4	50			0.3	7.6							10.9	6.8875017		
31.4		36.742344		0.3		1.5						10.9		7.1444125	
31.4		50.78292		0.3		1.4						10.9		6.7981625	
31.4		36.8824		0.3		1.5						10.9		6.1144505	
43	41.911583			15.8	15.1							11	8.397185		
43		24.857517		15.8		12.7						11		8.426511	
43		31.533989		15.8		13.2						11		8.000954	
43		38.861702		15.8		14.3						11		7.3000975	
42.2	50			10.9	9.2							9.5	6.670618		
42.2		16.960413		10.9		3						9.5		7.1038184	
42.2		47.458275		10.9		8.8						9.5		6.908275	
42.2		33.694077		10.9		9.400001						9.5		6.3639336	
46.9	50			11.3	1.6							10.5	8.335667		
46.9		37.25565		11.3		1.5						10.5		8.000807	
46.9		35.341965		11.3		1.4						10.5		7.7771735	
46.9		53.50916		11.3		1.5						10.5		7.272778	
17.5	50			1.6	2.1000001							7.4	3.8871033		
17.5		38.545113		1.6		1.5						7.4		5.4102826	
17.5		47.995373		1.6		1.4						7.4		5.084065	
17.5		67.10483		1.6		1.4						7.4		4.0541353	
32.7	50			16.6	16.4							7.5	6.0706954		
32.7		50		16.6		14.7						7.5		6.647338	
32.7		27.83423		16.6		14.7						7.5		6.172271	
32.7		23.407598		16.6		15.3						7.5		5.13483	
40.2	50			1.3	2.1000001							8.4	6.8963532		
40.2		50		1.3		1.7						8.4		7.2795315	
40.2		30.126795		1.3		2						8.4		6.805255	
40.2		32.101883		1.3		2.1000001						8.4		6.058822	
52.8	50			0.4	13.400001							11.9	8.721226		
52.8		28.02446		0.4		1.4						11.9		8.35108	
52.8		26.995636		0.4		1.4						11.9		8.327184	
52.8		37.621983		0.4		1.8000001						11.9		7.629178	
49.9	40.12506			1.8	1.4							12.6	9.633292		
49.9		16.364428		1.8		2.1000001						12.6		9.6378565	
49.9		22.324247		1.8		2.1000001						12.6		9.421674	
49.9		32.84943		1.8		2.2						12.6		8.814689	
57.3	50			10.2	11.2							12.7	10.11029		
57.3		50		10.2		10.2						12.7		10.130221	
57.3		46.58375		10.2		10.400001						12.7		10.011359	
57.3		41.36551		10.2		11.1						12.7		9.464504	
46.8	148.83037			14.9	1.5							9.2	9.0217705		
46.8		24.963812		14.9		10.400001						9.2		8.724204	
46.8		31.628176		14.9		10.400001						9.2		8.432387	
46.8		20.581352		14.9		1.4						9.2		7.7224	
40.7	50			1.1	2.3							9.9	8.847492		
40.7		28.329834		1.1		1.4						9.9		8.898016	
40.7		38.504555		1.1		1.4						9.9		8.595027	
40.7		26.994139		1.1		1.5						9.9		7.9525766	
